,trait,qtl,model.si,model.a,dlod,sex,position.cm,position.mb,ci.low,ci.high,a.males,d.males,a.females,d.females,per.var
Wg5,6WK,Wg5,9,8.7,0.3,U,9,112,83,152,-0.82,0.99,-0.99,0.43,13.8
Wg6,6WK.1,Wg6,7.5,6,1.5,M,27.5,150,128,154,-1.04,1.5,-0.53,0.36,11.7
Wg5.9,9WK,Wg5.9,10.8,10.3,0.5,U,9,112,83,NA,-1.41,0.93,-0.99,0.39,16.4
Wg6.9,9WK.1,Wg6.9,6,4,2,M,27.5,150,128,NA,-1.24,1.44,-0.37,0.24,9.4
Swq6,SPL,Swq6,11,10.9,0.1,U,30,155,149,169,5.88,5.82,8.59,-0.63,16.7
Kwq7,KID,Kwq7,9.8,8.5,1.4,M,12.5,120,108,121,0.59,20.25,8.59,-0.63,15
Kwq8,KID.1,Kwq8,7.9,7.9,0,U,41,168,165,171,15.92,7.12,8.69,1.29,12.3
Tailq7,TAIL,Tailq7,6.7,6.5,0.2,U,12.5,120,86,139,-0.09,-0.02,-0.13,0.04,10.5
Bdlnq7,N.A,Bdlnq7,5.3,4.6,0.7,U,33,159,75,165,-0.03,-0.02,-0.05,0.21,8.4
Fatq1,FAT,Fatq1,8.7,6.5,2.2,F,20.3,136,113,145,-0.04,0.02,-0.11,-0.01,13.5
Fatq2,FAT.1,Fatq2,5.3,4.9,0.4,U,37,164,161,170,-0.05,-0.01,-0.08,0.02,8.5
Tcq1,TC,Tcq1,5.8,5.6,0.2,U,16.5,129,NA,NA,-3.78,1.81,-4.77,0.35,9.2
Tcq2,TC.1,Tcq2,6.8,6.7,0.1,U,32,158,119,171,-5.35,0.21,-4.21,0.27,10.7